Item ID: 1
Item Name: Rice
Item Type: Food
Item Price: 3
Item Quantity: 100

Item ID: 2
Item Name: Headphones
Item Type: Electronics
Item Price: 8
Item Quantity: 50

Item ID: 3
Item Name: Shirts
Item Type: Garments
Item Price: 4
Item Quantity: 200

Item ID: 4
Item Name: Pasta
Item Type: Food
Item Price: 2
Item Quantity: 200

Item ID: 5
Item Name: Chicken
Item Type: Food
Item Price: 6
Item Quantity: 20

Item ID: 6
Item Name: Milk
Item Type: Dairy
Item Price: 1
Item Quantity: 250

Item ID: 7
Item Name: Speakers
Item Type: Electronics
Item Price: 10
Item Quantity: 100

Item ID: 8
Item Name: Butter
Item Type: Dairy
Item Price: 2
Item Quantity: 100

Item ID: 9
Item Name: Jeans
Item Type: Garments
Item Price: 8
Item Quantity: 40

Item ID: 10
Item Name: Mobile
Item Type: Electronics
Item Price: 50
Item Quantity: 100

